Attitude-X, Attitude-Y, Attitude-Z
-0.09375, -0.9707031, 0.02392578
-0.09375, -0.9707031, 0.02392578
-0.09375, -0.9707031, 0.02392578
-0.09375, -0.9707031, 0.02392578
-0.03857422, -0.9819336, -0.01123047
-0.03857422, -0.9819336, -0.01123047
-0.03857422, -0.9819336, -0.01123047
-0.03857422, -0.9819336, -0.01123047
-0.001953125, -0.9848633, -0.3334961
-0.001953125, -0.9848633, -0.3334961
-0.001953125, -0.9848633, -0.3334961
-0.001953125, -0.9848633, -0.3334961
-0.03271484, -0.9833984, -0.07861328
-0.03271484, -0.9833984, -0.07861328
0.002929688, -0.9931641, -0.09716797
0.002929688, -0.9931641, -0.09716797
0.002929688, -0.9931641, -0.09716797
0.002929688, -0.9931641, -0.09716797
0.002929688, -0.9931641, -0.09716797
-0.04492188, -0.9697266, -0.1503906
-0.04492188, -0.9697266, -0.1503906
-0.04492188, -0.9697266, -0.1503906
-0.0859375, -0.9794922, -0.07324219
-0.0859375, -0.9794922, -0.07324219
-0.0859375, -0.9794922, -0.07324219
-0.0859375, -0.9794922, -0.07324219
-0.03564453, -0.9946289, -0.1381836
-0.03564453, -0.9946289, -0.1381836
-0.03564453, -0.9946289, -0.1381836
-0.03564453, -0.9946289, -0.1381836
-0.03564453, -0.9946289, -0.1381836
-0.02490234, -0.9160156, -0.2290039
-0.02490234, -0.9160156, -0.2290039
-0.02490234, -0.9160156, -0.2290039
0.001464844, -0.9379882, -0.1367188
0.001464844, -0.9379882, -0.1367188
0.001464844, -0.9379882, -0.1367188
0.001464844, -0.9379882, -0.1367188
0.1196289, -0.8378906, -0.07568359
0.1196289, -0.8378906, -0.07568359
0.1196289, -0.8378906, -0.07568359
0.1196289, -0.8378906, -0.07568359
0.01220703, -0.8623047, -0.04052734
0.01220703, -0.8623047, -0.04052734
0.01220703, -0.8623047, -0.04052734
0.01220703, -0.8623047, -0.04052734
0.01220703, -0.8623047, -0.04052734
0.01220703, -0.8623047, -0.04052734
0.03466797, -0.8041992, 0.03027344
0.03466797, -0.8041992, 0.03027344
0.2397461, -0.4550781, 0.2211914
0.2397461, -0.4550781, 0.2211914
0.2397461, -0.4550781, 0.2211914
0.1455078, -0.3188477, -0.08447266
0.1455078, -0.3188477, -0.08447266
0.1455078, -0.3188477, -0.08447266
0.1455078, -0.3188477, -0.08447266
0.1455078, -0.3188477, -0.08447266
0.1455078, -0.3188477, -0.08447266
0.3666992, -0.3681641, -0.5458984
0.3666992, -0.3681641, -0.5458984
-0.1347656, 0.3696289, 0.05615234
-0.1347656, 0.3696289, 0.05615234
-0.1347656, 0.3696289, 0.05615234
-0.1347656, 0.3696289, 0.05615234
-0.1347656, 0.3696289, 0.05615234
-0.2729492, 0.7900391, -0.1879883
-0.2729492, 0.7900391, -0.1879883
-0.2729492, 0.7900391, -0.1879883
0.04589844, 0.01513672, -0.4506836
0.04589844, 0.01513672, -0.4506836
0.04589844, 0.01513672, -0.4506836
0.04589844, 0.01513672, -0.4506836
0.04589844, 0.01513672, -0.4506836
0.04589844, 0.01513672, -0.4506836
0.3500977, -0.07958984, -1.455566
0.3500977, -0.07958984, -1.455566
-0.04052734, 0.0703125, -0.1162109
-0.04052734, 0.0703125, -0.1162109
-0.04052734, 0.0703125, -0.1162109
-0.04052734, 0.0703125, -0.1162109
0.5151367, 0.01855469, 0.2382813
0.5151367, 0.01855469, 0.2382813
0.5151367, 0.01855469, 0.2382813
0.5151367, 0.01855469, 0.2382813
0.5151367, 0.01855469, 0.2382813
0.5151367, 0.01855469, 0.2382813
-0.1762695, 0.1630859, -1.32666
-0.1762695, 0.1630859, -1.32666
-0.1762695, 0.1630859, -1.32666
0.1733398, 0.1240234, -0.6967773
0.1733398, 0.1240234, -0.6967773
0.1733398, 0.1240234, -0.6967773
0.07373047, -0.03662109, -0.7670898
0.07373047, -0.03662109, -0.7670898
0.07373047, -0.03662109, -0.7670898
0.07373047, -0.03662109, -0.7670898
0.09179688, 0.03955078, -0.9291992
0.09179688, 0.03955078, -0.9291992
0.09179688, 0.03955078, -0.9291992
0.09179688, 0.03955078, -0.9291992
0.09179688, 0.03955078, -0.9291992
0.05029297, 0.07177734, -1.231445
0.05029297, 0.07177734, -1.231445
0.05029297, 0.07177734, -1.231445
0.06640625, 0.03076172, -0.8950195
0.06640625, 0.03076172, -0.8950195
0.06640625, 0.03076172, -0.8950195
0.07763672, 0.06445313, -1.099121
0.07763672, 0.06445313, -1.099121
0.07763672, 0.06445313, -1.099121
0.07763672, 0.06445313, -1.099121
0.07763672, 0.06445313, -1.099121
0.06640625, 0.04443359, -0.9633789
0.06640625, 0.04443359, -0.9633789
0.06640625, 0.04443359, -0.9633789
0.001953125, 0.08789063, -1.06543
0.001953125, 0.08789063, -1.06543
0.001953125, 0.08789063, -1.06543
0.1044922, 0.03466797, -0.9072266
0.1044922, 0.03466797, -0.9072266
0.1044922, 0.03466797, -0.9072266
0.1044922, 0.03466797, -0.9072266
