Attitude-X, Attitude-Y, Attitude-Z
0.03564453, -1.001465, -0.1713867
0.03564453, -1.001465, -0.1713867
0.03564453, -1.001465, -0.1713867
0.03564453, -1.001465, -0.1713867
0.05078125, -1.000488, -0.03320313
0.05078125, -1.000488, -0.03320313
0.05078125, -1.000488, -0.03320313
0.05078125, -1.000488, -0.03320313
0.05126953, -0.9887695, 0.0004882813
0.05126953, -0.9887695, 0.0004882813
0.07226563, -0.9882813, 0.003417969
0.07226563, -0.9882813, 0.003417969
0.07226563, -0.9882813, 0.003417969
0.07226563, -0.9882813, 0.003417969
0.03076172, -0.9931641, 0.04296875
0.03076172, -0.9931641, 0.04296875
0.03076172, -0.9931641, 0.04296875
0.03076172, -0.9931641, 0.04296875
0.03076172, -0.9931641, 0.04296875
0.03076172, -0.9931641, 0.04296875
-0.0004882813, -0.9975586, 0.001464844
-0.0004882813, -0.9975586, 0.001464844
-0.05761719, -0.9975586, 0.09179688
-0.05761719, -0.9975586, 0.09179688
-0.05761719, -0.9975586, 0.09179688
-0.05761719, -0.9975586, 0.09179688
0.06347656, -0.9643555, 0.06298828
0.06347656, -0.9643555, 0.06298828
0.06347656, -0.9643555, 0.06298828
0.06347656, -0.9643555, 0.06298828
0.06347656, -0.9643555, 0.06298828
-0.06201172, -0.8549805, 0.03515625
-0.06201172, -0.8549805, 0.03515625
-0.06201172, -0.8549805, 0.03515625
-0.06201172, -0.8549805, 0.03515625
-0.06201172, -0.8549805, 0.03515625
-0.06201172, -0.8549805, 0.03515625
-0.06201172, -0.8549805, 0.03515625
-0.01220703, -0.8408203, 0.1645508
-0.01220703, -0.8408203, 0.1645508
-0.01220703, -0.8408203, 0.1645508
-0.01220703, -0.8408203, 0.1645508
-0.02636719, -0.7260742, 0.2246094
-0.02636719, -0.7260742, 0.2246094
-0.02636719, -0.7260742, 0.2246094
-0.02636719, -0.7260742, 0.2246094
0.002441406, -0.4482422, 0.2700195
0.002441406, -0.4482422, 0.2700195
0.002441406, -0.4482422, 0.2700195
0.002441406, -0.4482422, 0.2700195
0.002441406, -0.4482422, 0.2700195
0.03808594, -0.001464844, 0.2641602
0.03808594, -0.001464844, 0.2641602
0.03808594, -0.001464844, 0.2641602
0.015625, 0.6611328, 0.215332
0.015625, 0.6611328, 0.215332
0.015625, 0.6611328, 0.215332
0.015625, 0.6611328, 0.215332
0.015625, 0.6611328, 0.215332
0.1508789, 0.8994141, 0.5830078
0.1508789, 0.8994141, 0.5830078
0.1508789, 0.8994141, 0.5830078
0.1508789, 0.8994141, 0.5830078
-2.446289, 3.289063, -3.996094
-2.446289, 3.289063, -3.996094
-2.446289, 3.289063, -3.996094
-0.1845703, 0.1645508, 0.4936523
-0.1845703, 0.1645508, 0.4936523
-0.1845703, 0.1645508, 0.4936523
-0.1845703, 0.1645508, 0.4936523
0.0546875, 0.03857422, 0.4277344
0.0546875, 0.03857422, 0.4277344
0.0546875, 0.03857422, 0.4277344
0.0546875, 0.03857422, 0.4277344
0.0546875, 0.03857422, 0.4277344
0.03027344, 0.08349609, 0.4428711
0.03027344, 0.08349609, 0.4428711
0.5263672, 0.1108398, -2.746094
0.5263672, 0.1108398, -2.746094
0.5263672, 0.1108398, -2.746094
0.5263672, 0.1108398, -2.746094
0.05322266, 0.04736328, -0.3486328
0.05322266, 0.04736328, -0.3486328
0.05322266, 0.04736328, -0.3486328
0.05322266, 0.04736328, -0.3486328
0.2607422, -0.006835938, -1.366211
0.2607422, -0.006835938, -1.366211
0.2607422, -0.006835938, -1.366211
0.2607422, -0.006835938, -1.366211
0.2607422, -0.006835938, -1.366211
0.2607422, -0.006835938, -1.366211
0.4648437, 0.06494141, -1.818848
0.4648437, 0.06494141, -1.818848
0.4648437, 0.06494141, -1.818848
0.2592773, 0.1879883, -0.7641602
0.2592773, 0.1879883, -0.7641602
0.2592773, 0.1879883, -0.7641602
0.2104492, -0.1484375, -0.6313477
0.2104492, -0.1484375, -0.6313477
0.2104492, -0.1484375, -0.6313477
0.2104492, -0.1484375, -0.6313477
0.2104492, -0.1484375, -0.6313477
0.2104492, -0.1484375, -0.6313477
-0.02978516, -0.02246094, -0.946289
-0.02978516, -0.02246094, -0.946289
0.1948242, -0.0078125, -1.038086
0.1948242, -0.0078125, -1.038086
0.1948242, -0.0078125, -1.038086
0.1948242, -0.0078125, -1.038086
0.1567383, 0.01416016, -1.094238
0.1567383, 0.01416016, -1.094238
0.1567383, 0.01416016, -1.094238
0.1567383, 0.01416016, -1.094238
0.175293, 0.01074219, -1.02002
0.175293, 0.01074219, -1.02002
0.175293, 0.01074219, -1.02002
0.175293, 0.01074219, -1.02002
0.175293, 0.01074219, -1.02002
0.1245117, -0.005859375, -0.9628906
0.1245117, -0.005859375, -0.9628906
0.1147461, -0.008789063, -0.9477538
0.1147461, -0.008789063, -0.9477538
0.1147461, -0.008789063, -0.9477538
0.1040039, 0.0009765625, -1.007813
0.1040039, 0.0009765625, -1.007813
0.1040039, 0.0009765625, -1.007813
0.1040039, 0.0009765625, -1.007813
0.1040039, 0.0009765625, -1.007813
0.211914, -0.0004882813, -1.015137
0.211914, -0.0004882813, -1.015137
0.211914, -0.0004882813, -1.015137
0.06152344, -0.008300781, -1.033691
0.06152344, -0.008300781, -1.033691
0.06152344, -0.008300781, -1.033691
0.06152344, -0.008300781, -1.033691
0.2138672, -0.04394531, -0.9506837
0.2138672, -0.04394531, -0.9506837
0.2138672, -0.04394531, -0.9506837
0.2138672, -0.04394531, -0.9506837
0.2021484, -0.01660156, -1.042969
0.2021484, -0.01660156, -1.042969
0.2021484, -0.01660156, -1.042969
0.2021484, -0.01660156, -1.042969
0.2021484, -0.01660156, -1.042969
0.1972656, 0.01367188, -1.101074
0.1972656, 0.01367188, -1.101074
0.1972656, 0.01367188, -1.101074
0.1972656, 0.01367188, -1.101074
-0.03417969, -0.07226563, -0.8105469
-0.03417969, -0.07226563, -0.8105469
-0.03417969, -0.07226563, -0.8105469
-0.06738281, -0.09814453, -0.9995117
-0.06738281, -0.09814453, -0.9995117
-0.06738281, -0.09814453, -0.9995117
-0.06738281, -0.09814453, -0.9995117
-0.06738281, -0.09814453, -0.9995117
-0.01123047, -0.015625, -0.9174805
-0.01123047, -0.015625, -0.9174805
-0.01123047, -0.015625, -0.9174805
-0.1157226, -0.02783203, -1.002441
-0.1157226, -0.02783203, -1.002441
-0.1157226, -0.02783203, -1.002441
-0.1132813, -0.06445313, -1.002441
-0.1132813, -0.06445313, -1.002441
-0.1132813, -0.06445313, -1.002441
-0.1132813, -0.06445313, -1.002441
-0.1132813, -0.06445313, -1.002441
-0.01806641, -0.05029297, -0.9663086
-0.01806641, -0.05029297, -0.9663086
-0.01806641, -0.05029297, -0.9663086
-0.1210938, -0.05664063, -0.9736328
-0.1210938, -0.05664063, -0.9736328
-0.1210938, -0.05664063, -0.9736328
-0.1210938, -0.05664063, -0.9736328
-0.1113281, -0.08544922, -1.012207
-0.1113281, -0.08544922, -1.012207
-0.1113281, -0.08544922, -1.012207
-0.1113281, -0.08544922, -1.012207
-0.008789063, -0.02734375, -1.032227
-0.008789063, -0.02734375, -1.032227
-0.008789063, -0.02734375, -1.032227
-0.008789063, -0.02734375, -1.032227
-0.002929688, -0.03613281, -0.9912109
-0.002929688, -0.03613281, -0.9912109
0.05322266, -0.04931641, -0.9345703
0.05322266, -0.04931641, -0.9345703
0.05322266, -0.04931641, -0.9345703
0.05322266, -0.04931641, -0.9345703
0.05322266, -0.04931641, -0.9345703
0.05322266, -0.04931641, -0.9345703
0.05322266, -0.04931641, -0.9345703
0.05322266, -0.04931641, -0.9345703
0.05322266, -0.04931641, -0.9345703
0.01171875, -0.04541016, -0.9790039
0.01171875, -0.04541016, -0.9790039
0.01171875, -0.04541016, -0.9790039
0.01806641, -0.04296875, -0.9912109
0.01806641, -0.04296875, -0.9912109
0.01806641, -0.04296875, -0.9912109
0.01806641, -0.04296875, -0.9912109
0.01416016, -0.04296875, -1.001465
0.01416016, -0.04296875, -1.001465
0.01416016, -0.04296875, -1.001465
0.01416016, -0.04296875, -1.001465
0.009765625, -0.04492188, -0.9936523
