Attitude-X, Attitude-Y, Attitude-Z
-0.06103516, -1.004395, -0.01269531
-0.05761719, -1.005371, -0.006835938
-0.02783203, -0.9946289, -0.02294922
-0.02783203, -0.9946289, -0.02294922
-0.02783203, -0.9946289, -0.02294922
-0.04638672, -0.9951172, -0.04394531
-0.04638672, -0.9951172, -0.04394531
-0.04638672, -0.9951172, -0.04394531
-0.04980469, -0.9980469, -0.03222656
-0.04980469, -0.9980469, -0.03222656
-0.04980469, -0.9980469, -0.03222656
-0.04980469, -0.9980469, -0.03222656
-0.04980469, -0.9980469, -0.03222656
-0.07128906, -0.9921875, -0.07617188
-0.07128906, -0.9921875, -0.07617188
-0.07128906, -0.9921875, -0.07617188
-0.04199219, -0.9985352, -0.03857422
-0.04199219, -0.9985352, -0.03857422
-0.04199219, -0.9985352, -0.03857422
-0.04199219, -0.9985352, -0.03857422
-0.04638672, -0.9970703, -0.005371094
-0.04638672, -0.9970703, -0.005371094
-0.05810547, -0.9931641, -0.0004882813
-0.05810547, -0.9931641, -0.0004882813
-0.05810547, -0.9931641, -0.0004882813
-0.05810547, -0.9931641, -0.0004882813
-0.05810547, -0.9931641, -0.0004882813
-0.01806641, -0.9980469, -0.01074219
-0.01806641, -0.9980469, -0.01074219
-0.01806641, -0.9980469, -0.01074219
-0.01806641, -0.9980469, -0.01074219
-0.02832031, -0.9936523, -0.04833984
-0.02832031, -0.9936523, -0.04833984
-0.02832031, -0.9936523, -0.04833984
-0.06396484, -0.9936523, -0.07519531
-0.06396484, -0.9936523, -0.07519531
-0.06396484, -0.9936523, -0.07519531
-0.06396484, -0.9936523, -0.07519531
-0.06201172, -0.9980469, -0.04003906
-0.06201172, -0.9980469, -0.04003906
-0.06201172, -0.9980469, -0.04003906
-0.06201172, -0.9980469, -0.04003906
-0.06201172, -0.9980469, -0.04003906
-0.06201172, -0.9980469, -0.04003906
-0.07080078, -0.9951172, -0.03564453
-0.07080078, -0.9951172, -0.03564453
-0.01708984, -0.9956055, -0.015625
-0.01708984, -0.9956055, -0.015625
-0.01708984, -0.9956055, -0.015625
-0.01708984, -0.9956055, -0.015625
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.07324219, -0.9951172, -0.02978516
-0.07324219, -0.9951172, -0.02978516
-0.07324219, -0.9951172, -0.02978516
-0.07324219, -0.9951172, -0.02978516
-0.03808594, -0.9951172, -0.015625
-0.03808594, -0.9951172, -0.015625
-0.03808594, -0.9951172, -0.015625
-0.03808594, -0.9951172, -0.015625
-0.03808594, -1, 0.03564453
-0.03808594, -1, 0.03564453
-0.03808594, -1, 0.03564453
-0.03808594, -1, 0.03564453
-0.03808594, -1, 0.03564453
-0.03808594, -1, 0.03564453
-0.09570313, -0.9912109, 0.05419922
-0.09570313, -0.9912109, 0.05419922
0.03710938, -0.9658203, 0.01269531
0.03710938, -0.9658203, 0.01269531
0.03710938, -0.9658203, 0.01269531
-0.03808594, -0.8925781, 0.1416016
-0.03808594, -0.8925781, 0.1416016
-0.03808594, -0.8925781, 0.1416016
-0.03808594, -0.8925781, 0.1416016
-0.03808594, -0.8925781, 0.1416016
-0.07470703, -0.8857422, 0.1967773
-0.07470703, -0.8857422, 0.1967773
-0.07470703, -0.8857422, 0.1967773
-0.07177734, -0.8559571, 0.1879883
-0.07177734, -0.8559571, 0.1879883
-0.07177734, -0.8559571, 0.1879883
