Attitude-X, Attitude-Y, Attitude-Z
-0.006835938, -0.9931641, 0.07617188
-0.006835938, -0.9931641, 0.07617188
-0.006835938, -0.9931641, 0.07617188
-0.006835938, -0.9931641, 0.07617188
0.01513672, -1.00293, 0.02050781
0.01513672, -1.00293, 0.02050781
0.01513672, -1.00293, 0.02050781
-0.01318359, -0.9970703, -0.05517578
-0.01318359, -0.9970703, -0.05517578
-0.01318359, -0.9970703, -0.05517578
-0.01318359, -0.9970703, -0.05517578
-0.04980469, -0.9951172, -0.05273437
-0.04980469, -0.9951172, -0.05273437
-0.04980469, -0.9951172, -0.05273437
-0.04443359, -0.9985352, -0.046875
-0.04443359, -0.9985352, -0.046875
-0.04443359, -0.9985352, -0.046875
-0.04443359, -0.9985352, -0.046875
-0.04443359, -0.9985352, -0.046875
-0.04492188, -0.9970703, -0.06640625
-0.04492188, -0.9970703, -0.06640625
-0.02099609, -0.9975586, -0.05078125
-0.02099609, -0.9975586, -0.05078125
-0.02099609, -0.9975586, -0.05078125
-0.04199219, -0.9970703, -0.03613281
-0.04199219, -0.9970703, -0.03613281
-0.04199219, -0.9970703, -0.03613281
-0.04199219, -0.9970703, -0.03613281
-0.04101563, -0.9985352, -0.01904297
-0.04101563, -0.9985352, -0.01904297
-0.04101563, -0.9985352, -0.01904297
-0.04101563, -0.9985352, -0.01904297
-0.04101563, -0.9985352, -0.01904297
-0.02001953, -0.9970703, -0.02441406
-0.02001953, -0.9970703, -0.02441406
-0.02001953, -0.9970703, -0.02441406
-0.02880859, -0.9985352, -0.06054688
-0.02880859, -0.9985352, -0.06054688
-0.02880859, -0.9985352, -0.06054688
-0.03320313, -0.9980469, -0.03710938
-0.03320313, -0.9980469, -0.03710938
-0.03320313, -0.9980469, -0.03710938
-0.03320313, -0.9980469, -0.03710938
-0.04931641, -0.9951172, -0.03857422
-0.04931641, -0.9951172, -0.03857422
-0.04931641, -0.9951172, -0.03857422
-0.04931641, -0.9951172, -0.03857422
-0.04003906, -0.9960938, -0.04882813
-0.04003906, -0.9960938, -0.04882813
-0.04003906, -0.9960938, -0.04882813
-0.03076172, -1, -0.00390625
-0.03076172, -1, -0.00390625
-0.03076172, -1, -0.00390625
-0.03076172, -1, -0.00390625
-0.02197266, -0.9951172, -0.003417969
-0.02197266, -0.9951172, -0.003417969
-0.02197266, -0.9951172, -0.003417969
-0.02197266, -0.9951172, -0.003417969
-0.05175781, -0.9956055, -0.03027344
-0.05175781, -0.9956055, -0.03027344
-0.05175781, -0.9956055, -0.03027344
-0.05175781, -0.9956055, -0.03027344
-0.0234375, -0.996582, -0.007324218
-0.0234375, -0.996582, -0.007324218
-0.0234375, -0.996582, -0.007324218
-0.0234375, -0.996582, -0.007324218
-0.01367188, -1, 0.006347656
-0.01367188, -1, 0.006347656
-0.01367188, -1, 0.006347656
-0.01367188, -1, 0.006347656
-0.01367188, -1, 0.006347656
-0.04003906, -0.9956055, -0.05078125
-0.04003906, -0.9956055, -0.05078125
-0.04003906, -0.9956055, -0.05078125
-0.008789063, -0.9995117, -0.03857422
-0.008789063, -0.9995117, -0.03857422
-0.008789063, -0.9995117, -0.03857422
-0.01416016, -0.9980469, -0.01416016
-0.01416016, -0.9980469, -0.01416016
-0.01416016, -0.9980469, -0.01416016
-0.01416016, -0.9980469, -0.01416016
-0.01416016, -0.9980469, -0.01416016
-0.05517578, -0.9970703, -0.06494141
-0.05517578, -0.9970703, -0.06494141
-0.05517578, -0.9970703, -0.06494141
-0.05517578, -0.9970703, -0.06494141
-0.05517578, -0.9970703, -0.06494141
-0.03320313, -0.9980469, -0.00390625
-0.03320313, -0.9980469, -0.00390625
-0.03320313, -0.9980469, -0.00390625
-0.05126953, -0.9926758, 0.06835938
-0.05126953, -0.9926758, 0.06835938
-0.05126953, -0.9926758, 0.06835938
-0.05126953, -0.9926758, 0.06835938
-0.01367188, -0.9980469, 0.1586914
-0.01367188, -0.9980469, 0.1586914
-0.01367188, -0.9980469, 0.1586914
-0.01367188, -0.9980469, 0.1586914
-0.04833984, -0.9829102, 0.1220703
-0.04833984, -0.9829102, 0.1220703
-0.04833984, -0.9829102, 0.1220703
-0.04833984, -0.9829102, 0.1220703
-0.1176758, -0.9628906, 0.125
-0.1176758, -0.9628906, 0.125
-0.1176758, -0.9628906, 0.125
-0.06591797, -0.9291992, 0.1606445
-0.06591797, -0.9291992, 0.1606445
-0.06591797, -0.9291992, 0.1606445
-0.06591797, -0.9291992, 0.1606445
-0.05761719, -0.8623047, 0.1601563
-0.05761719, -0.8623047, 0.1601563
-0.05761719, -0.8623047, 0.1601563
-0.05761719, -0.8623047, 0.1601563
-0.05761719, -0.8623047, 0.1601563
-0.04882813, -0.703125, 0.1757813
-0.04882813, -0.703125, 0.1757813
-0.04736328, -0.6025391, 0.1879883
-0.04736328, -0.6025391, 0.1879883
-0.04736328, -0.6025391, 0.1879883
-0.04736328, -0.6025391, 0.1879883
-0.0390625, -0.3554688, 0.2373047
-0.0390625, -0.3554688, 0.2373047
-0.0390625, -0.3554688, 0.2373047
-0.0390625, -0.3554688, 0.2373047
-0.03173828, 0.2099609, 0.2631836
-0.03173828, 0.2099609, 0.2631836
-0.03173828, 0.2099609, 0.2631836
-0.03173828, 0.2099609, 0.2631836
-0.05712891, 0.6259766, 0.1850586
-0.05712891, 0.6259766, 0.1850586
-0.05712891, 0.6259766, 0.1850586
-0.125, 1.453613, -3.9375
-0.125, 1.453613, -3.9375
-0.125, 1.453613, -3.9375
-0.125, 1.453613, -3.9375
-0.09082031, 0.05273437, -0.02929687
-0.09082031, 0.05273437, -0.02929687
-0.09082031, 0.05273437, -0.02929687
-0.09082031, 0.05273437, -0.02929687
-0.09082031, 0.05273437, -0.02929687
-0.09082031, 0.05273437, -0.02929687
-0.06103516, 0.06201172, 0.2275391
-0.06103516, 0.06201172, 0.2275391
-0.06103516, 0.06201172, 0.2275391
-0.04345703, 0.1357422, -0.3364258
-0.04345703, 0.1357422, -0.3364258
-0.6430664, 0.1557617, -1.142578
-0.6430664, 0.1557617, -1.142578
-0.6430664, 0.1557617, -1.142578
-0.6430664, 0.1557617, -1.142578
-0.08935547, -0.0859375, -0.03955078
-0.08935547, -0.0859375, -0.03955078
-0.08935547, -0.0859375, -0.03955078
-0.08935547, -0.0859375, -0.03955078
-0.002441406, 0.02099609, -1.819336
-0.002441406, 0.02099609, -1.819336
-0.002441406, 0.02099609, -1.819336
-0.002441406, 0.02099609, -1.819336
0.1230469, -0.05419922, -1.023926
0.1230469, -0.05419922, -1.023926
0.1230469, -0.05419922, -1.023926
-0.09912109, -0.03564453, -1.028809
-0.09912109, -0.03564453, -1.028809
-0.09912109, -0.03564453, -1.028809
-0.09912109, -0.03564453, -1.028809
-0.09912109, -0.03564453, -1.028809
0.007324218, -0.04296875, -1.021973
0.007324218, -0.04296875, -1.021973
0.007324218, -0.04296875, -1.021973
0.008789063, -0.04492188, -0.9853516
0.008789063, -0.04492188, -0.9853516
0.008789063, -0.04492188, -0.9853516
0.002929688, -0.04443359, -0.9897461
0.002929688, -0.04443359, -0.9897461
0.002929688, -0.04443359, -0.9897461
0.002929688, -0.04443359, -0.9897461
-0.006347656, -0.04638672, -0.9902344
-0.006347656, -0.04638672, -0.9902344
-0.006347656, -0.04638672, -0.9902344
-0.006347656, -0.04638672, -0.9902344
0.001464844, -0.04345703, -1.006836
0.001464844, -0.04345703, -1.006836
0.001464844, -0.04345703, -1.006836
0.001464844, -0.04345703, -1.006836
-0.003417969, -0.04248047, -1.010742
-0.003417969, -0.04248047, -1.010742
-0.003417969, -0.04248047, -1.010742
-0.003417969, -0.04248047, -1.010742
-0.003417969, -0.04248047, -1.010742
0.001464844, -0.04541016, -0.9970703
0.001464844, -0.04541016, -0.9970703
0.001464844, -0.04541016, -0.9970703
0.001464844, -0.04541016, -0.9970703
0.001464844, -0.04541016, -0.9970703
0.001464844, -0.04541016, -0.9970703
-0.004882813, -0.04394531, -1.005371
-0.004882813, -0.04394531, -1.005371
-0.004882813, -0.04394531, -1.005371
-0.004882813, -0.04394531, -1.005371
-0.002441406, -0.04345703, -1.006348
-0.002441406, -0.04345703, -1.006348
-0.002441406, -0.04345703, -1.006348
-0.002441406, -0.04345703, -1.006348
0.0004882813, -0.04101563, -0.9926758
0.0004882813, -0.04101563, -0.9926758
0.0004882813, -0.04101563, -0.9926758
0.0004882813, -0.04101563, -0.9926758
-0.001953125, -0.04150391, -1.006836
-0.001953125, -0.04150391, -1.006836
-0.001953125, -0.04150391, -1.006836
-0.001953125, -0.04150391, -1.006836
-0.001953125, -0.04150391, -1.006836
-0.001953125, -0.04150391, -1.006836
0.001464844, -0.0390625, -0.9960938
0.001464844, -0.0390625, -0.9960938
0.001464844, -0.0390625, -0.9960938
0.0004882813, -0.046875, -0.9985352
0.0004882813, -0.046875, -0.9985352
0.0004882813, -0.046875, -0.9985352
0.0004882813, -0.046875, -0.9985352
0.004394531, -0.04443359, -0.9960938
0.004394531, -0.04443359, -0.9960938
0.004394531, -0.04443359, -0.9960938
0.004394531, -0.04443359, -0.9960938
0.003417969, -0.04345703, -0.9985352
0.003417969, -0.04345703, -0.9985352
0.003417969, -0.04345703, -0.9985352
0.003417969, -0.04345703, -0.9985352
0.001953125, -0.04199219, -0.9985352
0.001953125, -0.04199219, -0.9985352
0.001953125, -0.04199219, -0.9985352
0.08496094, -0.0600586, -0.7871094
0.08496094, -0.0600586, -0.7871094
0.08496094, -0.0600586, -0.7871094
0.08496094, -0.0600586, -0.7871094
-0.09033203, 0.008789063, -1.347656
-0.09033203, 0.008789063, -1.347656
-0.09033203, 0.008789063, -1.347656
-0.09033203, 0.008789063, -1.347656
-0.09033203, 0.008789063, -1.347656
-0.09033203, 0.008789063, -1.347656
-0.01757813, -0.03222656, -1.07666
-0.01757813, -0.03222656, -1.07666
